Produkt;Firma;Pytanie ;Stopień trudności pytania;Odpowiedź moja;OWU krótkie;OWU pełne;Uwagi
KL;HESTIA;Ile wariantów ubezpieczenia oferuje ERGO Podróż?;Proste;3 warianty;I. § 3 tabela;I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT;
KL;HESTIA;Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?;Proste;Nie;§ 38 ust. 1;§ 38 ust. 1. Umowa ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej;
KL;HESTIA;Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?;Proste;do 2000 zł;§ 6 ust. 1 pkt b;§ 6 ust. 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują: Pomoc medyczna pkt b) leczenie stomatologiczne (do 2000 zł);
KL;HESTIA;Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?;Złożone;Nie, są dostępne 3 warianty;I. § 3 tabela;I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT ;
KL;HESTIA;Czy ubezpieczenie ERGO Podróż obejmuje koszty świadczeń związanych z porodem?;Złożone;Nie, chyba że poród nastąpił przed 32 tygodniem ciąży;§ 8 ust. 1 pkt 5;§ 8 ust. 1. Ubezpieczenie Pomoc Medyczna i Koszty Leczenia oraz Podróż Assistance nie obejmuje szkód, które powstały w wyniku: pkt 5. porodu, chyba że nastąpił przed 32 tygodniem ciąży;
KL;HESTIA;Czy ubezpieczenie ERGO Podróż gwarantuje ochronę jeżeli będę pod wpływem alkoholu lub narkotyków?;Złożone;Nie ale tylko jeżeli będę pod wpływem narkotyków lub innych środków odurzających;§ 20 ust. 1 pkt. 10;"§ 20 ust. 1. ERGO Hestia nie ponosi odpowiedzialności za szkody: pkt. 10) wyrządzone przez Ubezpieczonego pod wpływem narkotyków lub innych środków odurzających lub leków o podobnym działaniu wskazanych w rozporządzeniu Ministra Zdrowia w sprawie wykazu substancji psychotropowych, środków odurzających oraz nowych substancji psychoaktywnych (Dz.U.2022.1665), chyba że nie miało to wpływu na powstanie szkody;";
KL;HESTIA;Czy w ubezpieczeniu ERGO Podróże Ubezpieczyciel może obniżyć świadczenie jeżeli Ubezpieczony nie powiadomić go o zdarzeniu lub wypadku niezwłocznie po jego zajściu lub uzyskaniu o nim wiadomości?;Bardzo Złożone;Tak ale tylko w przypadku gdy Ubezpieczony naruszył obowiązaek niezwłocznego zgłoszenia o zdarzeniu z winy umyślnej lub rażącego niedbalstwa;§ 28 ust. 1 ust. 3;"§ 28 ust. 1. Ubezpieczony ma obowiązek powiadomić ERGO Hestię o zdarzeniu lub wypadku niezwłocznie po jego zajściu lub uzyskaniu o nim wiadomości. ust. 3. W razie naruszenia z winy umyślnej lub rażącego niedbalstwa obowiązku niezwłocznego zawiadomienia, o którym mowa w ust. 1, ERGO Hestia może odpowiednio zmniejszyć świadczenie, jeżeli naruszenie  przyczyniło się do zwiększenia szkody lub uniemożliwiło ERGO Hestii ustalenie okoliczności i skutków zdarzenia.";
KL;HESTIA;Czy wspinaczka w ERGO Podróże należy do dyscyplin sportowych ekstremalnych? ;Bardzo Złożone;Tak ale tylko bouldering/wspinaczka ściankowa (bez użycia asekuracji) oraz wspinaczka wysokogórska do 5300 m n.p.m., (z wyłączeniem Antarktydy, Arktyki, Grenlandii lub Alaski);Załącznik nr 1;Załącznik nr 1 do Ogólnych Warunków Ubezpieczeń ERGO Podróż pkt 1 Dyscypliny sportowe, kolumna EKSTREMALNE (rozszerzenie: Sport wyczynowy) za opłatą dodatkowej składki;
KL;HESTIA;W jakim wariancie ubezpieczenia ERGO Podróż mam ochronę na całym świecie?;Bardzo Złożone;Wariant III;§ 3 tabela;§ 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń:Kolumna RODZAJ UBEZPIECZENIA - WARIANT III Wiersz Zakres terytorialny – polisy roczne (ryczałtowe) - Cały świat;
KL;HESTIA;Jakie ubezpieczenia podstawowe zawiera każdy Wariant ERGO Podróż?;Bardzo proste;Każdy wariant ERGO Podróż zawiera 5 ubezpieczeń podstawowych: Pomoc medyczna i koszty leczenia, Podróż Assistance, Następstwa Nieszczęśliwych Wypadków, Ubezpieczenie odpowiedzialności cywilnej, Bagaż;https://www.ergohestia.pl/ubezpieczenie-podrozy/;"Każdy z trzech wariantów ERGO Podróż zawiera 5 ubezpieczeń podstawowych: Pomoc medyczna i koszty leczenia, Podróż Assistance, Następstwa Nieszczęśliwych Wypadków, Ubezpieczenie odpowiedzialności cywilnej, Bagaż";
