row_id,input,pattern_name,output,context,expected_answer,phoenix_faithfulness_score,phoenix_faithfulness_label,phoenix_faithfulness_explanation,phoenix_conciseness_score,phoenix_conciseness_label,phoenix_conciseness_explanation,phoenix_correctness_score,phoenix_correctness_label,phoenix_correctness_explanation
0,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,blackboard,"**Odpowiedź:** ERGO Podróż oferuje 3 warianty ubezpieczenia.

---

**Szczegóły:**
- Według § 11 umowy ERGO Hestia Podróż zakres ochrony ubezpieczeniowej obejmuje trzy warianty: I, II i III [1].","hestia_ergo_podroz.md: 3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów:   | WARIANTY | I | II | III | |:---|:---:|:---:|:---:| | **Osoby objęte ochroną ubezpieczeniową** |  |  |  |

hestia_ergo_podroz.md: | Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór

hestia_ergo_podroz.md: | **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0

hestia_ergo_podroz.md: **Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.","3 warianty

I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT",1.0,faithful,"Response states there are 3 variants (I, II, III) and cites details consistent with the context. The context shows three variants in a table and mentions configuration options per variant.",0.8,mostly_concise,"Ocena zwięzłości odpowiedzi: zawiera krótką odpowiedź '3 warianty' plus dodatkowe szczegóły, co czyni ją nieco rozbudowaną.",1.0,fully_correct,"Candidate answer states there are 3 variants of ERGO Podróż insurance, matching the gold answer '3 warianty'. Additional detail confirms three variants I, II, III and aligns with the source; no contradictions or omissions that affect the core answer."
1,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,blackboard,"**Odpowiedź:** Tak, koszty pomocy stomatologicznej w ERGO Podróż pokrywane są do 2000 zł.

---

**Szczegóły:**
- Limity na podkategorie obejmują koszty leczenia stomatologicznego do 2000 zł (§ 6) [1].","hestia_ergo_podroz.md: 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują:   | **RODZAJ ŚWIADCZENIA** | **ŚWIADCZENIA** | |:---|:---| | **Pomoc medyczna** | a) leczenie szpitalne i ambulatoryjne;<br>b)

hestia_ergo_podroz.md: Ubezpieczenie obejmuje: * ✓ niezbędną i natychmiastową pomoc w przypadku nagłego zachorowania lub nieszczęśliwego wypadku, np. leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne

hestia_ergo7_pozakomunikacyjne.md: 5) środki pomocnicze, protezy, sprzęt rehabilitacyjny (z wyjątkiem sprzętu gospodarstwa domowego AGD i RTV), wózki inwalidzkie, przedmioty ortopedyczne oraz koszty odbudowy stomatologicznej zębów stał

hestia_ergo_podroz.md: 1. Ubezpieczenie Pomoc Medyczna i Koszty Leczenia oraz Ubezpieczenie Podróż Assistance obejmuje organizację i pokrycie niezbędnych kosztów udzielenia natychmiastowej pomocy za pośrednictwem Centrum Al","do 2000 zł

§ 6 ust. 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują: Pomoc medyczna pkt b) leczenie stomatologiczne (do 2000 zł)",0.0,unfaithful,The context mentions dental coverage generally but does not specify any monetary limit; the response asserts a limit of 2000 zł which is not supported by context.,1.0,very_concise,Ocena zwięzłości odpowiedzi: zawiera bezpośrednią odpowiedź i krótki kontekst bez nadmiaru treści; użyta jest krótkie zestawienie (bullet) ale bez zbędnych rozwinięć.,1.0,fully_correct,Candidate answer states dental cost coverage up to 2000 zł; gold answer also states up to 2000 zł for stomatological treatment under ERGO Podróż (section 6). Content matches semantically.
2,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,planner_executor,"**Odpowiedź:** 4 warianty ubezpieczenia. 

---

**Szczegóły:** 
- ERGO Podróż oferuje cztery warianty ubezpieczenia: Ubezpieczenie Podróż Assistance, Ubezpieczenie Następstw Nieszczęśliwych Wypadków, Ubezpieczenie Odpowiedzialności Cywilnej i Ubezpieczenie Bagaż, zgodnie z § 3 [4].","hestia_ergo_podroz.md: W ramach ERGO Podróż dostępne są ubezpieczenia dodatkowe:   * **Sprzęt Sportowy** – możesz ubezpieczyć sprzęt sportowy od zdarzeń losowych, rabunku lub kradzieży. * **Karnety i Kursy** – otrzymasz zwr

hestia_ergo_podroz.md: **Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.

hestia_ergo_podroz.md: | Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór

hestia_ergo_podroz.md: | **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0","3 warianty

I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT",0.0,unfaithful,"The response claims there are 4 ERGO Podróż insurance variants (Podróż Assistance, Następstw Nieszczęśliwych Wypadków, Odpowiedzialność Cywilna, Bagaż) but the provided context only explicitly mentions Podróż Assistance and Następstw Nieszczęśliwych Wypadków; Odpowiedzialność Cywilna and Bagaż are not clearly listed in the context, so the response is not faithful to the context.",0.8,mostly_concise,Ocena zwięzłości odpowiedzi: informacje są bezpośrednie (ilość wariantów) z drobnym dodatkiem kontekstu (lista szczegółów i odniesienie do §).,0.0,fully_incorrect,Candidate answer asserts 4 variants; gold answer states 3 variants. This is a factual mismatch and constitutes a wrong conclusion regarding the number of variants.
3,Czy mogę dowolnie ustalić wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż?,planner_executor,"**Odpowiedź:** Nie, wysokość sumy ubezpieczenia Kosztów Leczenia w ERGO Podróż nie może być ustalona dowolnie – wybiera się spośród trzech wariantów: I – 200 000 zł, II – 500 000 zł, III – 3 000 000 zł, a te kwoty stanowią górną granicę odpowiedzialności ERGO Hestii za wszystkie zdarzenia w okresie ubezpieczenia. 

---

**Szczegóły:**
- Suma ubezpieczenia albo sumę gwarancyjną dla każdego rodzaju ubezpieczenia Klient wybiera z dostępnych wariantów i te kwoty stanowią górną granicę odpowiedzialności ERGO Hestii za wszystkie zdarzenia, które wystąpią w okresie ubezpieczenia (§ 21) [1].
- Ubezpieczenie Pomoc Medyczna i Koszty Leczenia w ERGO Podróż ma trzy obowiązujące sumy ubezpieczenia: Wariant I – 200 000 zł, Wariant II – 500 000 zł, Wariant III – 3 000 000 zł, zgodnie z tabelą „Obowiązujące sumy ubezpieczenia i sumy gwarancyjne” (§ 22) [2]. 
- Dodatkowo potwierdza to opis „Co jest przedmiotem ubezpieczenia?”, gdzie Suma ubezpieczenia w Wariancie I wynosi 200 000 zł, w Wariancie II – 500 000 zł, a w Wariancie III – 3 000 000 zł [3].","hestia_ergo_podroz.md: 1. Sumę ubezpieczenia albo sumę gwarancyjną dla każdego rodzaju ubezpieczenia Klient wybiera z dostępnych wariantów. Sumy te stanowią górną granicę odpowiedzialności ERGO Hestii za wszystkie zdarzenia

hestia_ergo_podroz.md: Obowiązujące sumy ubezpieczenia i sumy gwarancyjne określa poniższa tabela:   | RODZAJ UBEZPIECZENIA | WARIANT I | WARIANT II | WARIANT III | |:---|:---|:---|:---| | Ubezpieczenie Pomoc Medyczna i Kos

hestia_ergo7_podroz.md: * ✓ Suma ubezpieczenia w Wariancie I wynosi 200 000 zł, w Wariancie II – 500 000 zł, a w Wariancie III – 3 000 000 zł.

hestia_ergo_podroz.md: 1) wynagrodzenia rzeczoznawcy, powołanego za pisemną zgodą ERGO Hestii, w celu ustalenia okoliczności wypadku, przyczyn lub rozmiaru szkody, maksymalnie do wysokości 20% sumy gwarancyjnej; 2) działań","Nie, są dostępne 3 warianty

I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT",1.0,faithful,"The provided response correctly states that the sum of insurance for Medical Costs in ERGO Podróż is not arbitrarily set but chosen from three variants (I: 200,000 zł; II: 500,000 zł; III: 3,000,000 zł) and that these sums serve as the upper limit of ERGO Hestia's liability. This aligns with the context that sums are variant-based and are the maximum liability.",0.8,mostly_concise,"Assessment: the response is information-dense with key facts (three sum variants, upper limit, per-article references) and structured with bullets. It has some padding (Szczegóły:, repetition of sums in multiple bullets) but remains compact and clear. Assigned label: mostly_concise (0.8).",1.0,fully_correct,"Candidate answer correctly states that the sum cannot be set arbitrarily and that there are three variants to choose from. It additionally provides the specific sums for each variant (I: 200,000 zł; II: 500,000 zł; III: 3,000,000 zł) and notes that these are the upper limits for all events in the policy period, which aligns with the gold reference indicating three variants. Therefore, the answer is fully correct."
4,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,router_specialist,"**Odpowiedź:** ERGO Podróż oferuje trzy warianty ubezpieczenia.

---

**Szczegóły:**
- 3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów: I, II, III. [2]","hestia_ergo_podroz.md: | Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór

hestia_ergo_podroz.md: 3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów:   | WARIANTY | I | II | III | |:---|:---:|:---:|:---:| | **Osoby objęte ochroną ubezpieczeniową** |  |  |  |

hestia_ergo_podroz.md: | **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0

hestia_ergo_podroz.md: | WARIANTY | I | II | III | |:---|:---|:---|:---| | Opóźnienie dostarczenia bagażu | – | ✓ do 500 zł | ✓ do 500 zł | | Pomoc w razie utraty środków płatniczych | – | ✓ | ✓ | | Pomoc w razie utraty dok","3 warianty

I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT",1.0,faithful,"The response correctly reflects the context, which lists three variants (I, II, III) of ERGO Podróż ubezpieczenia.",0.8,mostly_concise,"Ocena: odpowiedź daje bezpośrednią informację o liczbie wariantów (trzy). Fragment 'Szczegóły' wprowadza dodatkowy kontekst, który nie jest istotny dla samej odpowiedzi i powoduje niewielkie paddingowe uzupełnienie.",1.0,fully_correct,"Candidate answer asserts three insurance variants (I, II, III) for ERGO Podróż, which matches the gold answer '3 warianty' and the document listing I, II, III."
5,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,router_specialist,"**Odpowiedź:** Tak, koszty pomocy stomatologicznej w ERGO Podróż są pokrywane do 2000 zł.

---

**Szczegóły:**
- Świadczenia obejmują leczenie stomatologiczne do 2000 zł w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia ERGO Podróż (§ 6) [1].","hestia_ergo_podroz.md: 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują:   | **RODZAJ ŚWIADCZENIA** | **ŚWIADCZENIA** | |:---|:---| | **Pomoc medyczna** | a) leczenie szpitalne i ambulatoryjne;<br>b)

hestia_ergo7_komunikacja.md: Ubezpieczenie Następstw Nieszczęśliwych Wypadków Kierowcy i Pasażerów obejmuje również koszty odbudowy stomatologicznej zębów stałych, pod warunkiem że zostały poniesione do dwóch lat od nieszczęśliwe

hestia_ergo7_podroz.md: * ✓ Ubezpieczenie obejmuje niezbędną pomoc medyczną po wypadku, w tym leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne oraz całodobową Pomoc Centrum Alarmowego, organizację tra

hestia_ergo_podroz.md: Ubezpieczenie obejmuje: * ✓ niezbędną i natychmiastową pomoc w przypadku nagłego zachorowania lub nieszczęśliwego wypadku, np. leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne","do 2000 zł

§ 6 ust. 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują: Pomoc medyczna pkt b) leczenie stomatologiczne (do 2000 zł)",0.0,unfaithful,"The provided response claims dental costs are covered up to 2000 zł in ERGO Podróż. The context mentions dental coverage but does not specify any monetary limit. Therefore, the answer is not supported by the context and is unfaithful to the facts.",0.8,mostly_concise,"Reasoning for conciseness: the answer gives a direct yes and the amount, followed by a brief, structured detail with a citation. It uses a header and bullet for clarity without unnecessary padding.",1.0,fully_correct,"Candidate answer correctly states that dental assistance costs are covered up to 2000 zł, matching the gold answer 'do 2000 zł' and the cited section §6 of the policy. Therefore the result is fully_correct."
6,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,planner_executor,"**Odpowiedź:** Nie, umowa grupowa w ERGO Podróże może zostać zawarta wyłącznie wtedy, gdy obejmuje minimum 8 osób. 

---

**Szczegóły:**
- Umową ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej (§ 38) [1]. 
- Z uwagi na okres ochrony rozróżnia się dwa rodzaje umów ubezpieczenia grupowego: 1) krótkoterminową, na czas określony, wskazany przez Klienta; 2) roczną (dwanaście miesięcy) (§ 38) [1]. 
- Umowa ubezpieczenia może zostać zawarta w formie imiennej, rozumianej jako umowa ubezpieczenia dla przynajmniej jednej osoby ubezpieczonej, w której ramach każda osoba może mieć różny zakres ochrony ubezpieczeniowej (§ 37) [2].","hestia_ergo_podroz.md: 1. Umową ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej.   2. Z uwagi na okre

hestia_ergo_podroz.md: 1. Umowa ubezpieczenia może zostać zawarta w formie imiennej, rozumianej jako umowa ubezpieczenia dla przynajmniej jednej osoby ubezpieczonej, w której ramach każda osoba może mieć różny zakres ochron

hestia_ergo_podroz.md: **Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.

hestia_ergo_podroz.md: **Ponad 30 lat doświadczenia.** Przewidujemy sytuacje, które mogą zdarzyć się naszym Klientom.","Nie

§ 38 ust. 1. Umowa ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej",1.0,faithful,"Odpowiedź jest zgodna z kontekstem. W treści kontekstu podano, że umowa grupowa obejmuje minimum 8 osób, więc odpowiedź mówiąca o konieczności co najmniej 8 osób jest faithful.",0.5,mixed,Assessment based on provided response length and inclusion of extra details; the answer is informational but contains several bullet points and clause references beyond the minimal answer to the user's question.,0.8,mostly_correct,"The candidate's conclusion matches the gold answer: a group contract requires at least 8 insured persons; for 5 persons it cannot be formed. The candidate adds extra details (types of group contracts and named- insured structure) that do not contradict the gold answer. Therefore, the assessment is mostly_correct with minor potential expansions."
7,Czy w ERGO Podróże może zostać zawarta umowa grupowa dla 5 osób?,hierarchical,"**Odpowiedź:** Nie, minimalna liczba osób dla umowy grupowej w ERGO Podróże wynosi 8. 

---

**Szczegóły:**
- Umową ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej. [1] **[Obowiązkowe]**","hestia_ergo_podroz.md: 1. Umową ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej.   2. Z uwagi na okre

hestia_ergo_podroz.md: 1. Umowa ubezpieczenia może zostać zawarta w formie imiennej, rozumianej jako umowa ubezpieczenia dla przynajmniej jednej osoby ubezpieczonej, w której ramach każda osoba może mieć różny zakres ochron

hestia_ergo_podroz.md: 1. W niniejszym dokumencie Sopockie Towarzystwo Ubezpieczeń ERGO Hestia S.A. z siedzibą w Sopocie (dalej: „ERGO Hestia”) opisało warunki, na jakich Klient i ERGO Hestia zawierają umowę ubezpieczenia.

hestia_ergo_podroz.md: | Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór","Nie

§ 38 ust. 1. Umowa ubezpieczenia może zostać zawarta w formie grupowej, obejmującej minimum 8 osób, gdzie wszystkie osoby ubezpieczone objęte są tym samym zakresem ochrony ubezpieczeniowej",1.0,faithful,"The context states that a group contract for ERGO Podróże requires a minimum of 8 people, so a group for 5 people is not allowed. The answer correctly reflects this rule and remains faithful to the context.",1.0,very_concise,"Response is concise and information-dense: clearly states the minimum number of insured persons for a group contract (8) and notes the grouping conditions; uses a brief bullet list and a citation, with minimal padding.",1.0,fully_correct,Candidate answer correctly states that minimum group size is 8 for ERGO Podróże; this matches the gold answer and implies the request for 5 people is not possible. Therefore the answer is fully correct.
8,Czy i do jakiej kwoty w ubezpieczeniu ERGO Podróż pokrywane są koszty pomocy stomatologicznej?,deterministic,"**Odpowiedź:** Tak, koszty leczenia stomatologicznego w ERGO Podróż pokrywane są do 2000 zł. 

---

**Szczegóły:**
- Koszty leczenia stomatologicznego — do 2000 zł (§ 6) [1].","hestia_ergo_podroz.md: 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują:   | **RODZAJ ŚWIADCZENIA** | **ŚWIADCZENIA** | |:---|:---| | **Pomoc medyczna** | a) leczenie szpitalne i ambulatoryjne;<br>b)

hestia_ergo_podroz.md: Ubezpieczenie obejmuje: * ✓ niezbędną i natychmiastową pomoc w przypadku nagłego zachorowania lub nieszczęśliwego wypadku, np. leczenie szpitalne, ambulatoryjne, stomatologiczne, konsultacje medyczne

hestia_ergo_podroz.md: 1. Ubezpieczenie Pomoc Medyczna i Koszty Leczenia oraz Ubezpieczenie Podróż Assistance obejmuje organizację i pokrycie niezbędnych kosztów udzielenia natychmiastowej pomocy za pośrednictwem Centrum Al

hestia_ergo_podroz.md: i nie zwraca innych powstałych za granicą kosztów objętych zakresem Ubezpieczenia Pomoc Medyczna i Koszty Leczenia oraz Ubezpieczenia Podróż Assistance w odniesieniu do następstw tego nieszczęśliwego","do 2000 zł

§ 6 ust. 1. Świadczenia w Ubezpieczeniu Pomoc Medyczna i Koszty Leczenia obejmują: Pomoc medyczna pkt b) leczenie stomatologiczne (do 2000 zł)",0.0,unfaithful,"The context mentions dental treatment coverage but does not specify any amount; the response claims 2000 zł, which is not supported by the provided context.",0.8,mostly_concise,"Ocena: odpowiedź jest krótka, zawiera bezpośrednią odpowiedź ('tak' i 2000 zł) oraz krótkie źródło (§ 6). Użyte elementy strukturalne (nagłówek, punkt listy) nie nadciągają treści.",1.0,fully_correct,Gold answer states coverage up to 2000 zł for stomatological treatment under ERGO Podróż; candidate states the same amount and cites § 6. This is semantically equivalent with no material errors.
9,Ile wariantów ubezpieczenia oferuje ERGO Podróż?,deterministic,"**Odpowiedź:** Trzy warianty ubezpieczenia ERGO Podróż.
---
**Szczegóły**:
- W umowie ERGO Podróż przewidziano trzy warianty ochrony: I, II i III (§ 11) [1].

---

**Szczegóły:**
- Brak dodatkowych szczegółów.","hestia_ergo_podroz.md: 3. Zakres ochrony ubezpieczeniowej określa umowa ubezpieczenia według poniższych wariantów:   | WARIANTY | I | II | III | |:---|:---:|:---:|:---:| | **Osoby objęte ochroną ubezpieczeniową** |  |  |  |

hestia_ergo_podroz.md: | **Ubezpieczenie Podróż Assistance** | ✓ | ✓ | ✓ | | **Ubezpieczenie Następstw Nieszczęśliwych Wypadków** | ✓ suma ubezpieczenia 10 000 zł | ✓ suma ubezpieczenia 30 000 zł | ✓ suma ubezpieczenia 60 0

hestia_ergo_podroz.md: | Przedłużenie ochrony o 48 godzin | ✓ | ✓ | ✓ | | Opóźnienie lub odwołanie środka transportu | ✓ 1000 zł | ✓ 1000 zł | ✓ 1000 zł | | Przerwanie podróży | ✓ 3000 zł | ✓ 3000 zł | ✓ 10 000 zł | | Dozór

hestia_ergo_podroz.md: **Ubezpieczenia na miarę potrzeb.** Umożliwiamy indywidualną konfigurację zakresu ubezpieczenia.","3 warianty

I. Rodzaje ubezpieczeń § 3 Niniejszy dokument opisuje warunki następujących ubezpieczeń: RODZAJ UBEZPIECZENIA WARIANT I WARIANT II WARIANT III WARIANT",1.0,faithful,"The response claims three variants (I, II, III) and the context shows a table with variants I, II, III, indicating there are three variants. The claim is consistent with the provided context.",0.5,mixed,"Ocena zwięzłości odpowiedzi: odpowiedź zawiera powtórzenia i dodatkowe sekcje; kluczowa informacja to liczba wariantów, reszta to padding.",1.0,fully_correct,"Candidate answer correctly states there are three variants of ERGO Podróż insurance, consistent with the gold answer '3 warianty'; it mentions I, II, III variants, with no contradictions or missing core information."
